report_no,year,country_iso3,doi,sha256
2000/093,2000,DZA,10.5089/9781451811360.002,3bec927614726d71e3f1a38589aecf58357a2daa3ffdaf6a13ff81ab3a121384
2000/094,2000,CHL,10.5089/9781451807486.002,8a3b854df3209907171096cd099e95228ce5819ec90ab511a0a0f68c4a646e89
2000/095,2000,AUT,10.5089/9781451802269.002,a4ce02734e5173a1fd7d92e2d0b2923849d61219fa946222e222ecf62c6a23e6
2000/096,2000,CZE,10.5089/9781451810035.002,15f3c27521185ccd2955932c004c77ace09d21efa0d9b3c8359184b34eb0a231
2000/097,2000,IRL,10.5089/9781451818727.002,5cdcd6d00c564a03cf13ab85d253666389e406235d5a8e52918366a1c06105c0
2000/098,2000,JPN,10.5089/9781451820461.002,a6f512e3ef4232e367cf7ef50ede08199cc9eeb58a1b02052a8023a4f7625092
2000/110,2000,CYP,10.5089/9781451809800.002,5481d9d9046dd15fe7cf0a857f96d37d0b771bb733ff135d0bce6d09bd427a83
2000/118,2000,SWE,10.5089/9781451835878.002,05d076e9583cd97f0fa0c180dbef2cde8af802163357f2c2800216e8e1768ba9
2000/136,2000,PNG,10.5089/9781451831634.002,48b30942ddce3a17a528c3284dbd245bae5c4f410e3d37ba5a3d6c34d57b91ee
2000/138,2000,NZL,10.5089/9781451830163.002,22427b59e6cca56cf09507d2fc76ebc8aa4e3384e68ba2f00d9f366a080634c0
2000/141,2000,DEU,10.5089/9781451810349.002,ce13ba2130465029308632ab06dac7173ec60955553fcc1d68cc22fbad49f110
2000/145,2000,RUS,10.5089/9781451832983.002,ab671a39468e38b312d9a7cb0a36e1c5ad0fa139c1eba43f85be1f5efb6cbdd8
2000/149,2000,VCT,10.5089/9781451839913.002,ef389cd7815cc1835c8476cfcecfee763ec438235541593515e73ed5a064bc31
2000/152,2000,PRT,10.5089/9781451832136.002,d16cdd87eaf2eceacccdc916477f5e7f497d1d6dde746d948bf4c950ce1b8e91
2000/158,2000,BRB,10.5089/9781451805970.002,77d10b831cadbd7af5942de2b537c7200d688dd1a1c0595cb547d7cac9c50b1f
2000/159,2000,ROU,10.5089/9781451832709.002,e57b7524cbe3227a202a3c51be36bfd163c75ea25699a8dfed9262721cede269
2000/164,2000,ARG,10.5089/9781451801316.002,5a050e698e8c729df1f5b2aa823bf30632adf86ab2cb30d3e9c0f9272b8fb88a
2001/005,2001,ZWE,10.5089/9781451841428.002,53e6393e8d5fde6f53d0e587993cc57657c1d11dee7bc31686503b9dc7fb80fd
2001/006,2001,HTI,10.5089/9781451817546.002,f958991a30818788ea51f980fac8b021079050c8c6ba1d397562c745ec0c1b13
2001/009,2001,KNA,10.5089/9781451821949.002,4a27745f0ebd8ce428909a5b6c9df99fff74a5ea44d9ba10bf10b2f7656e7b51
2001/017,2001,MOZ,10.5089/9781451827064.002,25e5ffb7c5db57b3404993b8fdd19a39b5c6eea8b8349e5507d0d1b18629ad98
2001/033,2001,NOR,10.5089/9781451829679.002,727cae1bb303d8e9785e968ab5454e244892251fa6d7e4811ac8f742f99ac3df
2001/036,2001,TUN,10.5089/9781451837780.002,2168b03dc44f241885ce2d123555d90a086af29c05e3aab38f95f86c1e49bde0
2001/038,2001,MWI,10.5089/9781451827972.002,dbd10365973ff206ead7c2078538d41912803bfa84240f66d4c63c1b6cdcbe12
2001/039,2001,PAN,10.5089/9781451830828.002,b5a4ba926746d6c694ab7cf9ace60739da735f8abbd2451c67407dc3f41da6db
2001/042,2001,GBR,10.5089/9781451814101.002,5b21f00eef4741f8adff2dc1c97e92c10e3cecfeb4029e8ef12798cca183c05f
2001/043,2001,HKG,10.5089/9781451807752.002,905ef1124ec6d4f8db11993e371cb8f78e3ab75ef43a23b493ce172cbf9584e7
2001/044,2001,BEL,10.5089/9781451803105.002,abc18099dad62158ae85c87a8876281e366ed229d7aebfe101472c61e60844ca
2001/052,2001,GRC,10.5089/9781451816099.002,6f2d21cf537ff7175232ff836b0a56612fe5426c0f17825c08a398df1ba302b7
2001/053,2001,BGR,10.5089/9781451804355.002,f8a545f3e49a52a3bf7bea0cc52926ce4e96383d2106fe36fb68501ad84226cb
2001/071,2001,LKA,10.5089/9781451823462.002,ecfcfae6de6ae01be9db9332badd0eaa76af085e935717cd4b0ebe48f5d07c6a
2001/072,2001,ANT,10.5089/9781451800999.002,c7e46b44aa804b633e3c93c063ceb52cf4a21efbedc8408143c88cb970c2a6e0
2001/074,2001,CHE,10.5089/9781451807189.002,09d5f1ed54478270decd9a08059b872b10b3360b61d80b1c52fbe78a60ddff0d
2001/076,2001,SVN,10.5089/9781451835632.002,9233c5c2f75e330d49ab3058fea6321aba290e29b1732ebfdaa496ec10afc04f
2001/077,2001,MUS,10.5089/9781451827729.002,301df53edde8b175bb8c97830fcc3bf2c9a3fa07f2df893b824db12b69ec1fbe
2001/081,2001,ISL,10.5089/9781451819229.002,b62d11d28140d62e0f85007710c76f26ed6a5b38d901c1768c42017bb44e9e6e
2001/083,2001,JAM,10.5089/9781451820089.002,286fd73fdddc86ed6e355e3278aba28ad2f1846b04f4fc3b1e2b72af84b5c614
2001/086,2001,AUT,10.5089/9781451802276.002,e7dd4ad9c2c99af859c6a634d8db8244d19a9069b8dc8cadb1055cd261ac2489
2001/087,2001,PRY,10.5089/9781451832372.002,82777850792886d39ff16364b5961003d07727174e298f0880ac091c7c593d45
